"http://dbpedia.org/resource/Imperial_State_Electric;""http://dbpedia.org/resource/The_Datsuns"";""The Datsuns"""
"http://dbpedia.org/resource/Imperial_State_Electric;""http://dbpedia.org/resource/Nicke_Andersson"";""Nicke Andersson"""
"http://dbpedia.org/resource/The_Meters;""http://dbpedia.org/resource/Leo_Nocentelli"";""Leo Nocentelli"""
"http://dbpedia.org/resource/The_Meters;""http://dbpedia.org/resource/George_Porter_Jr."";""George Porter"""
"http://dbpedia.org/resource/The_Meters;""http://dbpedia.org/resource/George_Porter_Jr."";""George Porter Jr."""
"http://dbpedia.org/resource/The_Meters;""http://dbpedia.org/resource/Art_Neville"";""Art Neville"""
"http://dbpedia.org/resource/Cave_In;""http://dbpedia.org/resource/Stephen_Brodsky"";""Stephen Brodsky"""
"http://dbpedia.org/resource/Cave_In;""http://dbpedia.org/resource/Caleb_Scofield"";""Caleb Scofield"""
"http://dbpedia.org/resource/American_Hi-Fi;""http://dbpedia.org/resource/Jamie_Arentzen"";""Jamie Arentzen"""
"http://dbpedia.org/resource/American_Hi-Fi;""http://dbpedia.org/resource/Stacy_Jones"";""Stacy Jones"""
"http://dbpedia.org/resource/American_Hi-Fi;""http://dbpedia.org/resource/Drew_Parsons_(musician)"";""Drew Parsons"""
"http://dbpedia.org/resource/Braid_(band);""http://dbpedia.org/resource/Bob_Nanna"";""Bob Nanna"""
"http://dbpedia.org/resource/Braid_(band);""http://dbpedia.org/resource/Chris_Broach"";""Chris Broach"""
"http://dbpedia.org/resource/Braid_(band);""http://dbpedia.org/resource/Damon_Atkinson"";""Damon Atkinson"""
"http://dbpedia.org/resource/I_Killed_the_Prom_Queen;""http://dbpedia.org/resource/Jona_Weinhofen"";""Jona Weinhofen"""
"http://dbpedia.org/resource/Two-Mix;""http://dbpedia.org/resource/Minami_Takayama"";""Minami Takayama"""
"http://dbpedia.org/resource/The_Civil_Wars;""http://dbpedia.org/resource/Joy_Williams_(singer)"";""Joy Williams"""
"http://dbpedia.org/resource/The_Civil_Wars;""http://dbpedia.org/resource/John_Paul_White"";""John Paul White"""
"http://dbpedia.org/resource/The_Desert_Rose_Band;""http://dbpedia.org/resource/Chris_Hillman"";""Chris Hillman"""
"http://dbpedia.org/resource/The_Desert_Rose_Band;""http://dbpedia.org/resource/John_Jorgenson"";""John Jorgenson"""
"http://dbpedia.org/resource/Carolina_Chocolate_Drops;""http://dbpedia.org/resource/Rhiannon_Giddens"";""Rhiannon Giddens"""
"http://dbpedia.org/resource/The_Superions;""http://dbpedia.org/resource/Fred_Schneider"";""Fred Schneider"""
"http://dbpedia.org/resource/Stereo_MCs;""http://dbpedia.org/resource/Cath_Coffey"";""Cath Coffey"""
"http://dbpedia.org/resource/Deerhoof;""http://dbpedia.org/resource/Greg_Saunier"";""Greg Saunier"""
"http://dbpedia.org/resource/Dizzy_Mizz_Lizzy;""http://dbpedia.org/resource/Tim_Christensen"";""Tim Christensen"""
"http://dbpedia.org/resource/Eddie_and_the_Hot_Rods;""http://dbpedia.org/resource/Richard_Holgarth"";""Richard Holgarth"""
"http://dbpedia.org/resource/Xtatik;""http://dbpedia.org/resource/Machel_Montano"";""Machel Montano"""
"http://dbpedia.org/resource/The_Spencer_Davis_Group;""http://dbpedia.org/resource/Miller_Anderson_(musician)"";""Miller Anderson"""
"http://dbpedia.org/resource/The_Spencer_Davis_Group;""http://dbpedia.org/resource/Colin_Hodgkinson"";""Colin Hodgkinson"""
"http://dbpedia.org/resource/The_Spencer_Davis_Group;""http://dbpedia.org/resource/Spencer_Davis"";""Spencer Davis"""
"http://dbpedia.org/resource/Frontier_Ruckus;""http://dbpedia.org/resource/Matthew_Milia"";""Matthew Milia"""
