"band;""bandname"""
"http://dbpedia.org/resource/Cruachan_(band);""Cruachan (band)"""
"http://dbpedia.org/resource/Negură_Bunget;""Negură Bunget"""
"http://dbpedia.org/resource/Boiled_in_Lead;""Boiled in Lead"""
"http://dbpedia.org/resource/Stick_Men_(prog_band);""Stick Men (prog band)"""
"http://dbpedia.org/resource/Grotus;""Grotus"""
"http://dbpedia.org/resource/The_Hot_Monkey;""The Hot Monkey"""
"http://dbpedia.org/resource/Pop_Evil;""Pop Evil"""
"http://dbpedia.org/resource/Leaders_of_the_New_School;""Leaders of the New School"""
"http://dbpedia.org/resource/Leathermouth;""Leathermouth"""
"http://dbpedia.org/resource/Bad_English;""Bad English"""
"http://dbpedia.org/resource/Vanna_(band);""Vanna (band)"""
"http://dbpedia.org/resource/Boysetsfire;""Boysetsfire"""
"http://dbpedia.org/resource/Family_(band);""Family (band)"""
"http://dbpedia.org/resource/Operation_Ivy_(band);""Operation Ivy (band)"""
"http://dbpedia.org/resource/Nelson_(band);""Nelson (band)"""
"http://dbpedia.org/resource/King's_X;""King's X"""
"http://dbpedia.org/resource/Soulfly;""Soulfly"""
"http://dbpedia.org/resource/Tin_Foil_Phoenix;""Tin Foil Phoenix"""
"http://dbpedia.org/resource/Poor_Moon;""Poor Moon"""
"http://dbpedia.org/resource/Skids_(band);""Skids (band)"""
"http://dbpedia.org/resource/Jason_&_the_Scorchers;""Jason & the Scorchers"""
"http://dbpedia.org/resource/Self_(band);""Self (band)"""
"http://dbpedia.org/resource/Play-N-Skillz;""Play-N-Skillz"""
"http://dbpedia.org/resource/Hammers_of_Misfortune;""Hammers of Misfortune"""
